10000000LANDESZENTRALBANK                                         10591BERLIN                        091                        
10010010POSTBANK                                                  10916BERLIN                        241                        
10010111BFG BANK                                                  10831BERLIN                        131                        
10010222ABN AMRO BANK                                             10105BERLIN                        101                        
10010424DEPFA BANK EHEM BAUBODEN                                  10666BERLIN                        091                        
10010600IKB DEUTSCHE INDUSTRIEBANK                                10834BERLIN                        091                        
10010900CITIBANK FIL BERLIN                                       14057BERLIN                        061                        
10020000BERLINER BANK NDL D BANKGESELLSCHAFT BERLIN               10890BERLIN                        691                        
10020100RIGGS BANK EUROPE                                         10117BERLIN                        091                        
10020200BHFBANK                                                   10703BERLIN                        601                        
10020383DELBRUECK & CO                                            10722BERLIN                        001                        
10020500BANK FUER SOZIALWIRTSCHAFT                                10730BERLIN                        091                        
10020600AGRICULTURAL BANK OF GREECE BERLIN BRANCH                 10623BERLIN                        301                        
10020890BAYER HYPO UND VEREINSBANK                                10896BERLIN                        951                        
10020900BERLINER BANK NDL D BANKGESELLSCHAFT BERLIN E1            10890BERLIN                        691                        
10022200BANKGESELLSCHAFT BERLIN                                   10777BERLIN                        691                        
10030200BERLINHANNOVERSCHE HYPOTHEKENBANK                         10773BERLIN                        091                        
10030400ABKKREDITBANK                                             10789BERLIN                        091                        
10030500BANKHAUS LOEBBECKE NDL BERLIN FASANENSTRASSE              10623BERLIN                        091                        
10030600BANKHAUS OSWALD KRUBER                                    13444BERLIN                        091                        
10030700GRIES & HEISSEL  BANKIERS                                 14193BERLIN                        161                        
10040000COMMERZBANK BERLIN (WEST)                                 10891BERLIN                        131                        
10050000LANDESBANK BERLIN GZ ZGL BERLINER SPARKASSE               10889BERLIN                        201                        
10050001LANDESBANK BERLIN GIROZENTRALE                            10889BERLIN                        201                        
10050005LANDESBANK BERLIN GIROZENTRALE E 1                        10889BERLIN                        091                        
10050006LANDESBANK BERLIN GIROZENTRALE E 2                        10889BERLIN                        091                        
10050500LBS OSTDEUTSCHE LANDESBAUSPARKASSE                        10117BERLIN                        091                        
10050600WESTDEUTSCHE LANDESBANK GIROZENTRALE                      10117BERLIN                        081                        
10050999DEUTSCHE GIROZENTRALE DEUTSCHE KOMMUNALBANK               10249BERLIN                        091                        
10060198PAXBANK                                                   14005BERLIN                        061                        
10060237EVANGELISCHE DARLEHNSGENOSSENSCHAFT                       10503BERLIN                        331                        
10070000DEUTSCHE BANK FIL BERLIN                                  10883BERLIN                        631                        
10070024DEUTSCHE BANK 24 FIL BERLIN                               10883BERLIN                        631                        
10080000DRESDNER BANK ZGL F BANK F HANDEL U INDUSTRIE             10623BERLIN                        761                        
10080005DRESDNER BANK ZW A                                        10623BERLIN                        761                        
10080006DRESDNER BANK ZW B                                        10623BERLIN                        761                        
10080029DRESDNER BANK BERLIN BS 29                                10623BERLIN                        761                        
10080088DRESDNER BANK BERLIN BS 88                                10623BERLIN                        761                        
10080900DRESDNER BANK OTTO SCHEURMANN                             10675BERLIN                        761                        
10089260DRESDNER BANK ITGK                                        10877BERLIN                        091                        
10090000BERLINER VOLKSBANK                                        14057BERLIN                        061                        
10090300BANK FUER SCHIFFAHRT (BFS) FIL D OSTFR VB LEER            13353BERLIN                        091                        
10090400DEUTSCHE GENOSSENSCHAFTSHYPOTHEKENBANK                    10594BERLIN                        091                        
10090603DEUTSCHE APOTHEKER UND AERZTEBANK                         10593BERLIN                        141                        
10090900PSD BANK BERLINBRANDENBURG                                12154BERLIN                        911                        
10110300MASEL DR  & CO                                            10707BERLIN                        091                        
10110400INVESTITIONSBANK BERLIN                                   10645BERLIN                        091                        
10110600BERLINER EFFEKTENBANK                                     10711BERLIN                        001                        
10110900DEUTSCHE AUSGLEICHSBANK                                   12120BERLIN                        091                        
10120100WEBERBANK BIB                                             10835BERLIN                        941                        
10120600ALLBANK                                                   10627BERLIN                        411                        
10120760BAYER HYPO UND VEREINSBANK NDL 260 BLN                    85609ASCHHEIM                      701                        
10120800CTB BANK VON ESSEN                                        10719BERLIN                        091                        
10120900ABC PRIVATKUNDENBANK                                      10109BERLIN                        091                        
10130600ISBANK FIL BERLIN                                         10787BERLIN                        061                        
10130800E*TRADE GERMANY                                           13509BERLIN                        011                        
10190100BERLINER VOLKSBANK (EH GRUNDKREDITBANK)                   10892BERLIN                        061                        
10210400SYSTRACOM                                                 10719BERLIN                        091                        
10210900MUENCHENER HYPOTHEKENBANK BERLIN                          10627BERLIN                        091                        
10220700HANSEATIC BANK                                            10717BERLIN                        091                        
10320800COMMERCIAL BANK OF GREECE (GERMANY)                       10623BERLIN                        561                        
12010300DEUTSCHE VERKEHRSBANK                                     10117BERLIN                        101                        
12016836KFW KREDITANSTALT FUER WIEDERAUFBAU                       10117BERLIN                        091                        
12020100OSTWEST HANDELSBANK NDL BERLIN                            10109BERLIN                        001                        
12020300BANK FUER KLEINE UND MITTLERE UNTERNEHMEN                 10122BERLIN                        061                        
12030000DEUTSCHE KREDITBANK BERLIN                                10117BERLIN                        001                        
12030700HANSEATIC BANK BERLINMITTE                                10115BERLIN                        091                        
12030900MERCK FINCK & CO                                          10109BERLIN                        101                        
12036895DEUTSCHE HANDELSBANK BERLIN                               10117BERLIN                        091                        
12040000COMMERZBANK BERLIN (OST)                                  10123BERLIN                        131                        
12050555NLBDVS DATENVERARB GES F SPARKASSEN BERLIN                10836BERLIN                        271                        
12050566WESTLBDVS                                                 10117BERLIN                        091                        
12060000DG BANK                                                   10001BERLIN                        091                        
12060016DG BANK DEUTSCHE GENOSSENSCHAFTSBANK ZW 16                10117BERLIN                        091                        
12070000DEUTSCHE BANK LD BRANDENBURG                              10883BERLIN                        631                        
12070024DEUTSCHE BANK 24 LD BRANDENBURG                           10883BERLIN                        631                        
12080000DRESDNER BANK                                             10623BERLIN                        761                        
12090640DEUTSCHE APOTHEKER UND AERZTEBANK (ZVOST)                 10625BERLIN                        141                        
12096597SPARDABANK BERLIN                                         10407BERLIN                        811                        
13000000LANDESZENTRALBANK                                         18003ROSTOCK                       091                        
13010111BFG BANK                                                  18057ROSTOCK                       131                        
13020780BAYER HYPO UND VEREINSBANK (EHEM HYPO)                    18010ROSTOCK                       701                        
13020800HANSEATIC BANK                                            18057ROSTOCK                       161                        
13040000COMMERZBANK                                               18006ROSTOCK                       131                        
13050000OSTSEESPARKASSE ROSTOCK                                   18121ROSTOCK                       201                        
13051022SPARKASSE VORPOMMERN                                      17489GREIFSWALD                    521                        
13051042KREISSPARKASSE RUEGEN SITZ BERGEN                         18525BERGEN, RUEGEN                521                        
13051052SPARKASSE HANSESTADT STRALSUND                            18412STRALSUND                     521                        
13051072KREISSPARKASSE GREVESMUEHLEN                              23932GREVESMUEHLEN                 521                        
13051082SPARKASSE                                                 23951WISMAR                        521                        
13061008VOLKSBANK WOLGAST                                         17438WOLGAST                       321                        
13061028VOLKSBANK GREIFSWALD                                      17462GREIFSWALD                    321                        
13061078VOLKS UND RAIFFEISENBANK                                  23932GREVESMUEHLEN                 321                        
13061088RAIFFEISENBANK                                            23952WISMAR                        321                        
13061108VOLKSBANK                                                 18303RIBNITZ-DAMGARTEN             321                        
13061128RAIFFEISENBANK                                            18202BAD DOBERAN                   321                        
13061178ROSTOCKER VOLKS UND RAIFFEISENBANK (EH RBK)               18011ROSTOCK                       321                        
13070000DEUTSCHE BANK                                             18002ROSTOCK                       631                        
13070024DEUTSCHE BANK 24                                          18002ROSTOCK                       631                        
13080000DRESDNER BANK                                             18010ROSTOCK                       761                        
13090000ROSTOCKER VOLKS UND RAIFFEISENBANK                        18003ROSTOCK                       321                        
13091044VRBANK RUEGEN                                             18528BERGEN, RUEGEN                321                        
13091054STRALSUNDER VOLKSBANK                                     18439STRALSUND                     321                        
13091084VOLKS UND RAIFFEISENBANK (EHEM VOLKSBANK)                 23952WISMAR                        061                        
13091174ROSTOCKER VOLKS UND RAIFFEISENBANK (EH VB)                18003ROSTOCK                       061                        
14000000LANDESZENTRALBANK                                         19005SCHWERIN                      091                        
14020100BERLINER BANK NDL D BANKGESELLSCHAFT BERLIN               19053SCHWERIN                      691                        
14020700HANSEATIC BANK                                            19055SCHWERIN                      161                        
14020781BAYER HYPO UND VEREINSBANK (EHEM HYPO)                    19003SCHWERIN                      701                        
14040000COMMERZBANK                                               19055SCHWERIN                      131                        
14051000SPARKASSE MECKLENBURGNORDWEST                             23951WISMAR                        201                        
14051332SPARKASSE PARCHIMLUEBZ                                    19403STERNBERG                     201                        
14051362SPARKASSE PARCHIMLUEBZ                                    19362PARCHIM                       201                        
14051382SPARKASSE PERLEBERG                                       19348PERLEBERG                     091                        
14051432KREISSPARKASSE GADEBUSCH                                  19201GADEBUSCH                     521                        
14051462SPARKASSE SCHWERIN                                        19001SCHWERIN                      521                        
14052000KREISSPARKASSE LUDWIGSLUST                                19221HAGENOW                       201                        
14061308VB U RAIFFBK GUESTROWBUETZOW EH RAIFFBK GUESTROW          18261GUESTROW                      321                        
14061338RAIFFEISENBANK STERNBERG                                  19406STERNBERG                     091                        
14061358RAIFFEISENBANK LUEBZ                                      19381LUEBZ                         321                        
14061438RAIFFEISENVOLKSBANK                                       19205GADEBUSCH                     321                        
14069004VRBANK                                                    19281LUDWIGSLUST                   321                        
14080000DRESDNER BANK                                             19006SCHWERIN                      761                        
14080011DRESDNER BANK ZW W                                        19006SCHWERIN                      761                        
14091464VRBANK                                                    19053SCHWERIN                      321                        
